"Submission ID","Respondent ID","Submitted at","What is the game's URL?
","Describe the game","Any comments?"
"7RD9q6L","pQDXl1","2025-07-07 19:05:00","https://r6dle.net/","Tom Clancy's Rainbow Six Siege. Guess operators, weapons and maps in singleplayer or multiplayer.",""
"rjKvybv","relx2R","2025-07-08 21:03:56","https://frankljin.github.io/hexle/","Guess the colour of #Hexle in 6 tries! New colour daily.",""
"yPyGAod","1LvVL4","2025-07-09 20:37:20","www.lilsnack.com","8-10 Daily Games all tied to pop-culture themes updated every single day with new content including daily games for Wheel of Fortune and recently Scattergories! ","Hi, I am the the CEO of Lil snack. Here is a recent article on us - would love to be included in your lists :) 

Can not believe we are just now finding your list! If open to it would be great to connect and learn more about what inspired you to put this together and your general take on the space! 


Recent Article:
https://gamesbeat.com/lil-snack-makes-a-snackable-scattergories-game-in-partnership-with-hasbro/"
"J9RrL9X","QbxrG7","2025-07-10 20:03:57","https://www.ted.com/games/the-purring-test","You have to guess an answer based on AI generations transforming and interpreting the answer into various things. For example, if the answer is ""George Washington"" you may see a dating profile, the contents of his closet, and George Washington as a cat. Teaches about AI (how to recognize AI generations and how it works) through play.",""
"Gx1VLdZ","QbxrG7","2025-07-10 20:05:22","https://www.ted.com/games/letter-brew","First stage is word ladders, second stage involves transforming three different words into the same final answer by various means. The tricky part is you have to figure out what transformation applies to what word.",""
"BzBEEYK","MWgzQY","2025-07-14 07:49:10","https://dentotino.com/weakdle","A Pokemon -dle game but for guessing the Pokemon types",""
"lbRaBqV","MWgzQY","2025-07-14 07:51:42","https://pikadoku.dentotino.com/","A more complex version of Pokedoku with a lot more categories and 2 categories per row and column",""
"BzBEaXR","MWgzQY","2025-07-14 07:52:39","https://weakdoku.dentotino.com/","A sudoku version of Weakdle (a Pokemon type guessing -dle)",""
"XxqJ1Wg","jjYkXx","2025-07-14 23:07:49","https://elemingle.com/","A daily element guessing game by trainwreck labs that is played by swiping cards left, right or up.",""
"OD04dbA","jjYkXx","2025-07-14 23:10:11","https://genitle.herraproductions.com/","Genitle - A daily game where you answer questions about the human genitalia. Has drawn images of them so possibly nsfw.",""
"kdZeK8R","jjYkXx","2025-07-14 23:12:59","https://forgeous.fun/","Forgeous - a daily game where you try to copy famous paintings by painting on a phone screen.",""
"A78qBVB","E2RPJ2","2025-07-16 17:41:33","https://zeldle.xyz/","Wordle game about zelda",""
"81ep8lk","1LLAKO","2025-07-17 00:37:40","https://pokerating.com/puzzle","Guess an unknown Pokemon based on its in game information and how popular it is, using the ratings of other people.",""
"A78bW4D","988BMG","2025-07-17 01:09:09","https://wilf.live/cobble/","Come up with two words that use up all of the given letters (plus any extra letters you want). The shorter the words, the better!",""
"zxe06DM","lxpDz6","2025-07-17 08:45:01","https://dailycrypticle.com/dailyclue.html","Daily cryptic crossword with a cryptic clue to play with definition and wordplay in wordle style (3 guesses). ","No account needed, once you guessed or failed there's a YT link to the solution, very nicely presented. "
"dWPZyzN","lxpDz6","2025-07-17 08:47:28","https://www.traindle.io/","Chain together words to form a train of thought. Timed based word game. ","No account needed. Nice ui"
"pbVRr8B","oqJPlM","2025-07-17 14:25:56","https://www.hoopgrids.com/","HoopGrids is a daily NBA grid game. Select players that fit into categories in a 3x3 grid, answers are graded by rarity. Unlimited guesses. From the same people running I CALLED GAME, which is on the Dles curated list",""
"44jOl7A","k2DdQ6","2025-07-18 16:05:23","https://trivialdle.ithea.de/","It's more of a parody on dles, because it only consists of clicking on ""solve"". But it still gets easier if you click on ""hint"", because this makes the ""solve"" button bigger. 
Made by blinry and piko, but we are not sad if it doesn't make it to the list; it's not that serious :D","Thanks for curating the list! <3"
"81eEL8Y","4MWkyd","2025-07-18 17:54:19","https://avatardle.com/home","A daily guessing game based on the cartoon show Avatar: The Last Airbender. It has 3 different modes including guessing characters, quotes, and scenes from the show.",""
"Ek0gyNX","lpbedp","2025-07-19 14:42:36","roomle.net","A Binding of Isaac secret room guessing game",""
"RGLNELJ","PozJg0","2025-07-22 02:48:06","https://sortwise.fun/","Drag to sort times of events and counts of things in a row",""
"Pdlj69d","gB5K9O","2025-07-23 08:59:52","https://underwheels.lol","Underwheels is a racing game featuring iconic characters and memes.",""
"EkLq6Er","04PZzA","2025-07-23 17:53:50","https://tally-game.com/","A fun numeral game, combing numbers to make up 10. A new puzzle each day. Loosely based on the data refining activity from the Apple TV+ show 'Severance'.",""
"XxEJzaP","lGVGD6","2025-07-24 09:44:39","https://mathlegame.com/","Guess an equation. ","Creator of https://colorguesser.com/ here, did that one as well. "
"EkLdMyr","lGVGD6","2025-07-24 09:45:16","https://reversle.net/","Basically the reverse of wordle. 
You start with the solution and walk backwards.",""
"MeLNVNX","lGVGD6","2025-07-24 09:46:21","https://learnle.net/","I got sad that people are spending so much time on MathleGame.com
Thought how can they use the time productively. 
This one you have to guess the population of a country. ","Kiru here, just submitted my other projects as well. 
Thanks a lot!"
